,duration,entry_mode,has_path,source,start_time,total_calories,total_distance,tracking_mode,type,uri,utc_offset,month,month_index,year
196,24.12,API,True,RunKeeper,"Tue, 5 Dec 2017 08:09:56",188,7887.01,outdoor,Cycling,/fitnessActivities/1094125018,-3,Dec,12,2017
197,123.12,API,True,RunKeeper,"Fri, 1 Dec 2017 13:38:38",716,8973.92,outdoor,Cycling,/fitnessActivities/1092704167,-3,Dec,12,2017
198,27.72,API,True,RunKeeper,"Fri, 1 Dec 2017 07:40:54",213,7980.27,outdoor,Cycling,/fitnessActivities/1092575535,-3,Dec,12,2017
199,26.33,API,True,RunKeeper,"Wed, 29 Nov 2017 14:55:09",207,7090.93,outdoor,Cycling,/fitnessActivities/1092575530,-3,Nov,11,2017
200,41.17,API,True,RunKeeper,"Wed, 29 Nov 2017 07:45:23",283,9264.97,outdoor,Cycling,/fitnessActivities/1091861090,-3,Nov,11,2017
201,30.8,API,True,RunKeeper,"Tue, 28 Nov 2017 14:36:10",238,8082.32,outdoor,Cycling,/fitnessActivities/1091590367,-3,Nov,11,2017
202,23.88,API,True,RunKeeper,"Tue, 28 Nov 2017 07:47:50",193,7977.83,outdoor,Cycling,/fitnessActivities/1091450009,-3,Nov,11,2017
203,41.75,API,True,RunKeeper,"Fri, 24 Nov 2017 14:11:16",279,7205.78,outdoor,Cycling,/fitnessActivities/1089963366,-3,Nov,11,2017
204,25.48,API,True,RunKeeper,"Fri, 24 Nov 2017 07:33:50",205,8011.97,outdoor,Cycling,/fitnessActivities/1089816941,-3,Nov,11,2017
205,47.47,API,True,RunKeeper,"Thu, 23 Nov 2017 15:03:23",321,9220.48,outdoor,Cycling,/fitnessActivities/1089637044,-3,Nov,11,2017
206,25.5,API,True,RunKeeper,"Thu, 23 Nov 2017 07:35:04",201,7941.14,outdoor,Cycling,/fitnessActivities/1089405860,-3,Nov,11,2017
207,46.3,API,True,RunKeeper,"Wed, 22 Nov 2017 13:47:50",309,8469.81,outdoor,Cycling,/fitnessActivities/1089650933,-3,Nov,11,2017
208,23.6,API,True,RunKeeper,"Wed, 22 Nov 2017 07:54:48",200,7677.36,outdoor,Cycling,/fitnessActivities/1089025941,-3,Nov,11,2017
209,43.25,API,True,RunKeeper,"Thu, 16 Nov 2017 13:45:23",292,8619.12,outdoor,Cycling,/fitnessActivities/1086561932,-3,Nov,11,2017
210,27.85,API,True,RunKeeper,"Thu, 16 Nov 2017 07:42:20",210,8079.2,outdoor,Cycling,/fitnessActivities/1086452103,-3,Nov,11,2017
211,28.33,API,True,RunKeeper,"Tue, 14 Nov 2017 13:33:15",200,7009.17,outdoor,Cycling,/fitnessActivities/1085679506,-3,Nov,11,2017
212,26.98,API,True,RunKeeper,"Tue, 14 Nov 2017 07:40:24",206,7944.72,outdoor,Cycling,/fitnessActivities/1085509757,-3,Nov,11,2017
213,44.25,API,True,RunKeeper,"Wed, 8 Nov 2017 13:25:10",297,7992.33,outdoor,Cycling,/fitnessActivities/1082906782,-3,Nov,11,2017
214,24.78,API,True,RunKeeper,"Wed, 8 Nov 2017 07:47:15",197,7988.87,outdoor,Cycling,/fitnessActivities/1082887366,-3,Nov,11,2017
215,31.18,API,True,RunKeeper,"Tue, 7 Nov 2017 15:25:48",237,8262.58,outdoor,Cycling,/fitnessActivities/1082887364,-3,Nov,11,2017
216,24.45,API,True,RunKeeper,"Tue, 7 Nov 2017 07:36:39",189,7899.45,outdoor,Cycling,/fitnessActivities/1082277169,-3,Nov,11,2017
217,45.02,API,True,RunKeeper,"Fri, 3 Nov 2017 14:42:12",337,11231.24,outdoor,Cycling,/fitnessActivities/1082468954,-3,Nov,11,2017
218,33.88,API,True,RunKeeper,"Wed, 1 Nov 2017 13:55:11",249,8328.51,outdoor,Cycling,/fitnessActivities/1079403530,-3,Nov,11,2017
219,26.08,API,True,RunKeeper,"Wed, 1 Nov 2017 07:37:45",202,7985.35,outdoor,Cycling,/fitnessActivities/1079241893,-3,Nov,11,2017
220,32.58,API,True,RunKeeper,"Tue, 31 Oct 2017 15:16:15",251,8097.37,outdoor,Cycling,/fitnessActivities/1078932196,-3,0,10,2017
221,26.68,API,True,RunKeeper,"Tue, 31 Oct 2017 07:38:45",209,7944.21,outdoor,Cycling,/fitnessActivities/1078740264,-3,0,10,2017
222,53.22,API,True,RunKeeper,"Tue, 24 Oct 2017 13:20:49",315,7784.54,outdoor,Cycling,/fitnessActivities/1075535202,-3,0,10,2017
223,58.68,API,True,RunKeeper,"Tue, 24 Oct 2017 07:43:22",347,8401.19,outdoor,Cycling,/fitnessActivities/1075372345,-3,0,10,2017
224,43.37,API,True,RunKeeper,"Wed, 18 Oct 2017 15:05:42",308,8490.96,outdoor,Cycling,/fitnessActivities/1072617973,-3,0,10,2017
225,25.52,API,True,RunKeeper,"Wed, 18 Oct 2017 07:24:27",212,7947.39,outdoor,Cycling,/fitnessActivities/1072309930,-3,0,10,2017
226,61.63,API,True,RunKeeper,"Tue, 17 Oct 2017 12:54:20",671,14003.13,outdoor,Cycling,/fitnessActivities/1071995204,-3,0,10,2017
227,25.22,API,True,RunKeeper,"Tue, 17 Oct 2017 07:39:03",205,7919.97,outdoor,Cycling,/fitnessActivities/1071757192,-3,0,10,2017
228,30.25,API,True,RunKeeper,"Fri, 13 Oct 2017 13:54:51",240,8439.65,outdoor,Cycling,/fitnessActivities/1069747366,-3,0,10,2017
229,22.4,API,True,RunKeeper,"Fri, 13 Oct 2017 07:40:40",185,7934.01,outdoor,Cycling,/fitnessActivities/1069584613,-3,0,10,2017
