,duration,entry_mode,has_path,source,start_time,total_calories,total_distance,tracking_mode,type,uri,utc_offset
84,41.02,API,True,RunKeeper,"Wed, 13 Jun 2018 13:53:26",272,8046.88,outdoor,Cycling,/fitnessActivities/1180563508,-3
85,23.58,API,True,RunKeeper,"Wed, 13 Jun 2018 07:15:21",201,7966.16,outdoor,Cycling,/fitnessActivities/1180537354,-3
86,54.22,API,True,RunKeeper,"Tue, 12 Jun 2018 15:27:27",345,8378.88,outdoor,Cycling,/fitnessActivities/1180068455,-3
87,24.73,API,True,RunKeeper,"Tue, 12 Jun 2018 06:53:48",201,7920.02,outdoor,Cycling,/fitnessActivities/1180036004,-3
88,32.67,API,True,RunKeeper,"Thu, 7 Jun 2018 16:19:50",239,7912.43,outdoor,Cycling,/fitnessActivities/1177415544,-3
89,26.15,API,True,RunKeeper,"Thu, 7 Jun 2018 07:59:02",199,7934.06,outdoor,Cycling,/fitnessActivities/1177162334,-3
90,36.05,API,True,RunKeeper,"Tue, 5 Jun 2018 16:00:53",265,7973.55,outdoor,Cycling,/fitnessActivities/1177149557,-3
91,23.12,API,True,RunKeeper,"Tue, 5 Jun 2018 07:46:32",195,7950.38,outdoor,Cycling,/fitnessActivities/1176022619,-3
92,29.62,API,True,RunKeeper,"Wed, 30 May 2018 14:28:34",216,7386.05,outdoor,Cycling,/fitnessActivities/1173063200,-3
93,21.77,API,True,RunKeeper,"Wed, 30 May 2018 07:22:15",199,7940.26,outdoor,Cycling,/fitnessActivities/1172756109,-3
94,28.77,API,True,RunKeeper,"Tue, 29 May 2018 17:31:12",221,7942.89,outdoor,Cycling,/fitnessActivities/1172500436,-3
95,21.37,API,True,RunKeeper,"Tue, 29 May 2018 06:50:25",202,7954.11,outdoor,Cycling,/fitnessActivities/1172490494,-3
96,28.12,API,True,RunKeeper,"Fri, 25 May 2018 14:36:03",207,7166.35,outdoor,Cycling,/fitnessActivities/1170261042,-3
97,22.95,API,True,RunKeeper,"Fri, 25 May 2018 08:12:56",198,7540.59,outdoor,Cycling,/fitnessActivities/1170233680,-3
98,25.25,API,True,RunKeeper,"Thu, 24 May 2018 18:55:53",199,7391.37,outdoor,Cycling,/fitnessActivities/1169843019,-3
99,22.23,API,True,RunKeeper,"Thu, 24 May 2018 07:24:30",196,7520.39,outdoor,Cycling,/fitnessActivities/1169834377,-3
100,27.97,API,True,RunKeeper,"Wed, 23 May 2018 14:11:08",210,7443.03,outdoor,Cycling,/fitnessActivities/1169144944,-3
101,21.93,API,True,RunKeeper,"Wed, 23 May 2018 07:38:26",195,7507.11,outdoor,Cycling,/fitnessActivities/1169123144,-3
102,28.17,API,True,RunKeeper,"Tue, 22 May 2018 14:18:17",215,7354.2,outdoor,Cycling,/fitnessActivities/1169123125,-3
103,22.13,API,True,RunKeeper,"Tue, 22 May 2018 07:53:29",194,7531.96,outdoor,Cycling,/fitnessActivities/1168369561,-3
104,80.02,API,True,RunKeeper,"Fri, 18 May 2018 15:31:10",621,20399.56,outdoor,Cycling,/fitnessActivities/1166352274,-3
105,29.38,API,True,RunKeeper,"Fri, 18 May 2018 08:00:20",216,8155.09,outdoor,Cycling,/fitnessActivities/1166327212,-3
106,31.7,API,True,RunKeeper,"Thu, 17 May 2018 17:20:26",235,7972.25,outdoor,Cycling,/fitnessActivities/1165898370,-3
107,26.92,API,True,RunKeeper,"Thu, 17 May 2018 07:56:37",223,7939.14,outdoor,Cycling,/fitnessActivities/1165888156,-3
108,65.53,API,True,RunKeeper,"Wed, 16 May 2018 15:27:54",510,20067.36,outdoor,Cycling,/fitnessActivities/1165342915,-3
109,24.02,API,True,RunKeeper,"Wed, 16 May 2018 07:50:00",210,8024.31,outdoor,Cycling,/fitnessActivities/1165305685,-3
110,27.45,API,True,RunKeeper,"Tue, 15 May 2018 16:30:22",207,7037.85,outdoor,Cycling,/fitnessActivities/1165305677,-3
111,23.78,API,True,RunKeeper,"Tue, 15 May 2018 07:27:21",201,7944.5,outdoor,Cycling,/fitnessActivities/1164464928,-3
112,62.52,API,True,RunKeeper,"Thu, 10 May 2018 14:13:22",387,8518.29,outdoor,Cycling,/fitnessActivities/1161944827,-3
113,28.13,API,True,RunKeeper,"Thu, 10 May 2018 07:47:59",224,8188.75,outdoor,Cycling,/fitnessActivities/1161910765,-3
114,110.0,API,True,RunKeeper,"Wed, 9 May 2018 13:08:03",659,12774.74,outdoor,Cycling,/fitnessActivities/1161337389,-3
