,duration,entry_mode,has_path,source,start_time,total_calories,total_distance,tracking_mode,type,uri,utc_offset,month,month_index,year
0,41.9,API,True,RunKeeper,"Tue, 9 Oct 2018 13:42:13",282,8791.48,outdoor,Cycling,/fitnessActivities/1241059614,-3,0,10,2018
1,24.4,API,True,RunKeeper,"Tue, 9 Oct 2018 07:01:20",195,7944.65,outdoor,Cycling,/fitnessActivities/1241059598,-3,0,10,2018
2,50.15,API,True,RunKeeper,"Fri, 5 Oct 2018 13:31:20",293,8646.5,outdoor,Cycling,/fitnessActivities/1239128443,-3,0,10,2018
3,24.72,API,True,RunKeeper,"Fri, 5 Oct 2018 07:32:10",198,7561.67,outdoor,Cycling,/fitnessActivities/1239108321,-3,0,10,2018
4,34.13,API,True,RunKeeper,"Tue, 2 Oct 2018 12:19:17",234,8010.35,outdoor,Cycling,/fitnessActivities/1237705303,-3,0,10,2018
5,27.5,API,True,RunKeeper,"Tue, 2 Oct 2018 07:10:18",215,7911.28,outdoor,Cycling,/fitnessActivities/1237576166,-3,0,10,2018
6,55.52,API,True,RunKeeper,"Thu, 27 Sep 2018 07:50:07",379,10472.91,outdoor,Cycling,/fitnessActivities/1237541305,-3,Sep,9,2018
7,32.47,API,True,RunKeeper,"Tue, 25 Sep 2018 12:24:03",230,7972.87,outdoor,Cycling,/fitnessActivities/1237541300,-3,Sep,9,2018
8,23.6,API,True,RunKeeper,"Tue, 25 Sep 2018 07:42:44",192,7530.85,outdoor,Cycling,/fitnessActivities/1237541296,-3,Sep,9,2018
9,27.9,API,True,RunKeeper,"Thu, 20 Sep 2018 13:24:59",204,7113.38,outdoor,Cycling,/fitnessActivities/1237541244,-3,Sep,9,2018
10,25.97,API,True,RunKeeper,"Thu, 20 Sep 2018 07:12:25",209,7935.36,outdoor,Cycling,/fitnessActivities/1232056305,-3,Sep,9,2018
11,33.07,API,True,RunKeeper,"Tue, 18 Sep 2018 12:54:14",236,7396.22,outdoor,Cycling,/fitnessActivities/1232056300,-3,Sep,9,2018
12,25.38,API,True,RunKeeper,"Tue, 18 Sep 2018 07:22:49",198,7976.8,outdoor,Cycling,/fitnessActivities/1232056296,-3,Sep,9,2018
13,66.53,API,True,RunKeeper,"Thu, 13 Sep 2018 14:03:45",504,19522.71,outdoor,Cycling,/fitnessActivities/1232056293,-3,Sep,9,2018
14,24.87,API,True,RunKeeper,"Thu, 13 Sep 2018 07:44:54",197,7961.16,outdoor,Cycling,/fitnessActivities/1232056068,-3,Sep,9,2018
15,32.38,API,True,RunKeeper,"Tue, 11 Sep 2018 13:36:48",228,8050.79,outdoor,Cycling,/fitnessActivities/1232056058,-3,Sep,9,2018
16,25.77,API,True,RunKeeper,"Tue, 11 Sep 2018 07:56:25",196,7964.82,outdoor,Cycling,/fitnessActivities/1232056039,-3,Sep,9,2018
17,30.6,API,True,RunKeeper,"Wed, 5 Sep 2018 12:59:40",227,7956.92,outdoor,Cycling,/fitnessActivities/1232056036,-3,Sep,9,2018
18,25.02,API,True,RunKeeper,"Wed, 5 Sep 2018 07:18:07",198,7934.99,outdoor,Cycling,/fitnessActivities/1232056028,-3,Sep,9,2018
19,35.37,API,True,RunKeeper,"Fri, 31 Aug 2018 13:46:10",247,8595.08,outdoor,Cycling,/fitnessActivities/1221821645,-3,Aug,8,2018
20,23.97,API,True,RunKeeper,"Fri, 31 Aug 2018 07:00:07",201,7890.32,outdoor,Cycling,/fitnessActivities/1221793323,-3,Aug,8,2018
21,28.9,API,True,RunKeeper,"Wed, 29 Aug 2018 13:05:19",205,7059.6,outdoor,Cycling,/fitnessActivities/1221793316,-3,Aug,8,2018
22,19.62,API,True,RunKeeper,"Wed, 29 Aug 2018 07:02:00",194,7991.18,outdoor,Cycling,/fitnessActivities/1220779094,-3,Aug,8,2018
23,37.6,API,True,RunKeeper,"Tue, 28 Aug 2018 16:47:58",251,7462.76,outdoor,Cycling,/fitnessActivities/1220371653,-3,Aug,8,2018
24,28.9,API,True,RunKeeper,"Tue, 28 Aug 2018 10:00:13",229,7871.26,outdoor,Cycling,/fitnessActivities/1220167250,-3,Aug,8,2018
25,25.72,API,True,RunKeeper,"Fri, 24 Aug 2018 07:58:25",205,7936.99,outdoor,Cycling,/fitnessActivities/1218036090,-3,Aug,8,2018
26,26.78,API,True,RunKeeper,"Thu, 23 Aug 2018 14:13:13",202,7052.72,outdoor,Cycling,/fitnessActivities/1217721948,-3,Aug,8,2018
27,24.22,API,True,RunKeeper,"Thu, 23 Aug 2018 07:52:33",197,7957.77,outdoor,Cycling,/fitnessActivities/1217721945,-3,Aug,8,2018
28,74.45,API,True,RunKeeper,"Fri, 17 Aug 2018 15:40:24",602,20371.78,outdoor,Cycling,/fitnessActivities/1217721941,-3,Aug,8,2018
29,21.22,API,True,RunKeeper,"Fri, 17 Aug 2018 07:12:26",195,7527.06,outdoor,Cycling,/fitnessActivities/1217721937,-3,Aug,8,2018
30,30.17,API,True,RunKeeper,"Thu, 16 Aug 2018 16:28:17",230,8057.81,outdoor,Cycling,/fitnessActivities/1213990570,-3,Aug,8,2018
