,duration,entry_mode,has_path,source,start_time,total_calories,total_distance,tracking_mode,type,uri,utc_offset,month,month_index,year
475,109.2,API,True,RunKeeper,"Fri, 16 Dec 2016 13:04:25",407,4875.08,outdoor,Running,/fitnessActivities/908047763,-3,Dec,12,2016
476,60.05,API,True,RunKeeper,"Mon, 12 Dec 2016 14:14:01",379,7773.94,outdoor,Running,/fitnessActivities/907093870,-3,Dec,12,2016
477,30.82,API,True,RunKeeper,"Sat, 10 Dec 2016 10:38:44",110,1818.4,outdoor,Running,/fitnessActivities/906057975,-3,Dec,12,2016
478,29.62,API,True,RunKeeper,"Sat, 10 Dec 2016 09:21:21",162,2530.62,outdoor,Running,/fitnessActivities/906057969,-3,Dec,12,2016
479,38.38,API,True,RunKeeper,"Wed, 7 Dec 2016 15:31:56",484,6088.34,outdoor,Running,/fitnessActivities/904946765,-3,Dec,12,2016
480,21.0,API,True,RunKeeper,"Sat, 3 Dec 2016 20:17:24",179,2673.95,outdoor,Running,/fitnessActivities/903594561,-3,Dec,12,2016
481,61.27,API,True,RunKeeper,"Sat, 3 Dec 2016 10:23:11",146,1688.06,outdoor,Running,/fitnessActivities/903594544,-3,Dec,12,2016
482,15.35,API,True,RunKeeper,"Sat, 3 Dec 2016 07:44:50",80,1319.61,outdoor,Running,/fitnessActivities/903594535,-3,Dec,12,2016
483,33.75,API,True,RunKeeper,"Fri, 2 Dec 2016 16:03:22",468,5782.3,outdoor,Running,/fitnessActivities/902920684,-3,Dec,12,2016
484,31.87,API,True,RunKeeper,"Wed, 30 Nov 2016 16:22:27",465,6075.28,outdoor,Running,/fitnessActivities/902206424,-3,Nov,11,2016
485,30.77,API,True,RunKeeper,"Sun, 27 Nov 2016 16:19:31",378,5035.06,outdoor,Running,/fitnessActivities/900998868,-3,Nov,11,2016
486,53.2,API,True,RunKeeper,"Sat, 26 Nov 2016 07:30:53",156,1856.73,outdoor,Running,/fitnessActivities/900998847,-3,Nov,11,2016
487,33.42,API,True,RunKeeper,"Fri, 25 Nov 2016 16:30:56",476,6088.42,outdoor,Running,/fitnessActivities/900170972,-3,Nov,11,2016
488,28.8,API,True,RunKeeper,"Wed, 23 Nov 2016 14:21:42",112,1737.83,outdoor,Running,/fitnessActivities/900170967,-3,Nov,11,2016
489,19.6,API,True,RunKeeper,"Wed, 23 Nov 2016 13:23:34",84,1366.16,outdoor,Running,/fitnessActivities/900170962,-3,Nov,11,2016
490,48.32,API,True,RunKeeper,"Wed, 23 Nov 2016 09:21:50",160,2208.35,outdoor,Running,/fitnessActivities/899179996,-3,Nov,11,2016
491,32.6,API,True,RunKeeper,"Mon, 21 Nov 2016 16:16:48",469,6053.3,outdoor,Running,/fitnessActivities/898495439,-3,Nov,11,2016
492,32.1,API,True,RunKeeper,"Sun, 20 Nov 2016 15:51:49",466,6055.43,outdoor,Running,/fitnessActivities/898120490,-3,Nov,11,2016
493,23.25,API,True,RunKeeper,"Sat, 19 Nov 2016 19:07:24",165,2525.0,outdoor,Running,/fitnessActivities/897703699,-3,Nov,11,2016
494,21.67,API,True,RunKeeper,"Sat, 19 Nov 2016 18:31:09",149,2346.22,outdoor,Running,/fitnessActivities/897693139,-3,Nov,11,2016
495,37.62,API,True,RunKeeper,"Thu, 17 Nov 2016 17:29:01",456,6023.71,outdoor,Running,/fitnessActivities/896866606,-3,Nov,11,2016
496,21.63,API,True,RunKeeper,"Sun, 13 Nov 2016 09:04:49",126,1930.17,outdoor,Running,/fitnessActivities/894880682,-3,Nov,11,2016
497,34.43,API,True,RunKeeper,"Tue, 8 Nov 2016 06:01:28",468,6083.66,outdoor,Running,/fitnessActivities/892756871,-3,Nov,11,2016
498,36.98,API,True,RunKeeper,"Sun, 6 Nov 2016 08:10:54",126,2130.9,outdoor,Running,/fitnessActivities/891736143,-3,Nov,11,2016
499,29.05,API,True,RunKeeper,"Wed, 2 Nov 2016 13:33:01",181,4229.47,outdoor,Running,/fitnessActivities/891682182,-3,Nov,11,2016
500,55.32,API,True,RunKeeper,"Wed, 2 Nov 2016 12:05:13",172,2434.82,outdoor,Running,/fitnessActivities/889934134,-3,Nov,11,2016
501,20.53,API,True,RunKeeper,"Wed, 2 Nov 2016 09:20:41",119,1890.46,outdoor,Running,/fitnessActivities/889934114,-3,Nov,11,2016
502,35.75,API,True,RunKeeper,"Mon, 31 Oct 2016 16:36:34",426,5747.29,outdoor,Running,/fitnessActivities/889019873,-3,0,10,2016
503,21.6,API,True,RunKeeper,"Sat, 29 Oct 2016 09:31:48",106,1747.91,outdoor,Running,/fitnessActivities/887731824,-3,0,10,2016
504,57.45,API,True,RunKeeper,"Thu, 27 Oct 2016 17:33:04",391,6175.43,outdoor,Running,/fitnessActivities/887062984,-3,0,10,2016
505,32.9,API,True,RunKeeper,"Tue, 25 Oct 2016 17:10:27",465,6092.71,outdoor,Running,/fitnessActivities/886103776,-3,0,10,2016
506,22.4,API,True,RunKeeper,"Sat, 22 Oct 2016 18:42:57",134,2068.0,outdoor,Running,/fitnessActivities/884540405,-3,0,10,2016
507,22.37,API,True,RunKeeper,"Sat, 22 Oct 2016 07:34:03",135,1726.58,outdoor,Running,/fitnessActivities/884263106,-3,0,10,2016
508,27.8,API,True,RunKeeper,"Fri, 21 Oct 2016 06:08:46",448,5735.75,outdoor,Running,/fitnessActivities/883830755,-3,0,10,2016
509,30.02,API,True,RunKeeper,"Tue, 18 Oct 2016 06:01:12",452,5779.21,outdoor,Running,/fitnessActivities/882382333,-3,0,10,2016
510,28.43,API,True,RunKeeper,"Mon, 17 Oct 2016 06:14:04",450,5787.84,outdoor,Running,/fitnessActivities/881794561,-3,0,10,2016
511,27.98,API,True,RunKeeper,"Sat, 15 Oct 2016 11:49:00",137,1681.81,outdoor,Running,/fitnessActivities/881320295,-3,0,10,2016
512,30.38,API,True,RunKeeper,"Sat, 15 Oct 2016 07:55:26",98,1408.12,outdoor,Running,/fitnessActivities/881320276,-3,0,10,2016
513,32.53,API,True,RunKeeper,"Thu, 13 Oct 2016 05:55:27",471,6066.74,outdoor,Running,/fitnessActivities/879724086,-3,0,10,2016
514,37.17,API,True,RunKeeper,"Sat, 8 Oct 2016 07:39:16",125,1632.46,outdoor,Running,/fitnessActivities/879724069,-3,0,10,2016
515,13.42,API,True,RunKeeper,"Sat, 1 Oct 2016 10:45:41",109,1142.46,outdoor,Running,/fitnessActivities/873478977,-3,0,10,2016
516,34.73,API,True,RunKeeper,"Sat, 1 Oct 2016 07:38:37",131,1932.56,outdoor,Running,/fitnessActivities/873478953,-3,0,10,2016
517,14.02,API,True,RunKeeper,"Tue, 27 Sep 2016 19:52:49",78,1201.42,outdoor,Running,/fitnessActivities/871403740,-3,Sep,9,2016
518,203.55,API,True,RunKeeper,"Tue, 27 Sep 2016 10:23:03",559,7362.0,outdoor,Running,/fitnessActivities/871208619,-3,Sep,9,2016
519,45.27,API,True,RunKeeper,"Sat, 24 Sep 2016 11:41:45",142,1950.04,outdoor,Running,/fitnessActivities/871085668,-3,Sep,9,2016
520,13.23,API,True,RunKeeper,"Sat, 24 Sep 2016 07:55:18",65,1165.96,outdoor,Running,/fitnessActivities/869319331,-3,Sep,9,2016
521,37.95,API,True,RunKeeper,"Tue, 13 Sep 2016 05:53:10",414,5842.67,outdoor,Running,/fitnessActivities/862662102,-3,Sep,9,2016
522,70.42,API,True,RunKeeper,"Fri, 9 Sep 2016 09:01:31",367,5401.72,outdoor,Running,/fitnessActivities/860368918,-3,Sep,9,2016
523,20.47,API,True,RunKeeper,"Wed, 7 Sep 2016 14:48:44",118,1875.92,outdoor,Running,/fitnessActivities/859281417,-3,Sep,9,2016
524,51.32,API,True,RunKeeper,"Sun, 4 Sep 2016 10:28:56",232,2604.35,outdoor,Running,/fitnessActivities/857806881,-3,Sep,9,2016
525,37.67,API,True,RunKeeper,"Sat, 27 Aug 2016 11:36:35",98,1651.17,outdoor,Running,/fitnessActivities/852422837,-3,Aug,8,2016
526,0.3,API,True,RunKeeper,"Sat, 27 Aug 2016 07:59:19",0,0.0,outdoor,Running,/fitnessActivities/852324818,-3,Aug,8,2016
527,21.4,API,True,RunKeeper,"Sun, 21 Aug 2016 16:56:36",104,1875.14,outdoor,Running,/fitnessActivities/852324795,-3,Aug,8,2016
528,50.28,API,True,RunKeeper,"Fri, 19 Aug 2016 11:27:59",210,3358.49,outdoor,Running,/fitnessActivities/847529088,-3,Aug,8,2016
529,39.45,API,True,RunKeeper,"Fri, 19 Aug 2016 09:18:05",324,3093.13,outdoor,Running,/fitnessActivities/847476808,-3,Aug,8,2016
530,33.93,API,True,RunKeeper,"Sun, 14 Aug 2016 14:58:01",228,3470.17,outdoor,Running,/fitnessActivities/844532207,-3,Aug,8,2016
531,13.23,API,True,RunKeeper,"Sun, 14 Aug 2016 14:24:10",182,2418.75,outdoor,Running,/fitnessActivities/844501490,-3,Aug,8,2016
532,18.48,API,True,RunKeeper,"Sun, 31 Jul 2016 12:30:27",261,3526.11,outdoor,Running,/fitnessActivities/835895196,-3,Jul,7,2016
533,49.7,API,True,RunKeeper,"Sun, 31 Jul 2016 11:39:30",193,2272.81,outdoor,Running,/fitnessActivities/835895188,-3,Jul,7,2016
534,37.85,API,True,RunKeeper,"Sun, 19 Jun 2016 15:54:04",420,5850.38,outdoor,Running,/fitnessActivities/810514835,-3,Jun,6,2016
535,135.1,API,True,RunKeeper,"Sat, 18 Jun 2016 07:13:03",781,7463.44,outdoor,Running,/fitnessActivities/809687187,-3,Jun,6,2016
536,42.72,API,True,RunKeeper,"Sat, 18 Jun 2016 06:08:27",373,4123.85,outdoor,Running,/fitnessActivities/809687157,-3,Jun,6,2016
537,34.78,API,True,RunKeeper,"Wed, 15 Jun 2016 06:02:52",458,6129.75,outdoor,Running,/fitnessActivities/807853214,-3,Jun,6,2016
538,13.15,API,True,RunKeeper,"Mon, 13 Jun 2016 17:06:40",59,615.71,outdoor,Running,/fitnessActivities/806924800,-3,Jun,6,2016
539,10.1,API,True,RunKeeper,"Mon, 13 Jun 2016 15:03:52",299,549.76,outdoor,Running,/fitnessActivities/806901919,-3,Jun,6,2016
540,26.57,API,True,RunKeeper,"Mon, 13 Jun 2016 05:50:21",450,5756.3,outdoor,Running,/fitnessActivities/806547477,-3,Jun,6,2016
541,27.23,API,True,RunKeeper,"Fri, 10 Jun 2016 05:58:37",451,5797.35,outdoor,Running,/fitnessActivities/804841603,-3,Jun,6,2016
542,36.82,API,True,RunKeeper,"Mon, 23 May 2016 06:08:33",429,5884.05,outdoor,Running,/fitnessActivities/793442865,-3,May,5,2016
543,27.68,API,True,RunKeeper,"Mon, 16 May 2016 05:54:44",455,5814.91,outdoor,Running,/fitnessActivities/788769831,-3,May,5,2016
544,31.03,API,True,RunKeeper,"Sat, 14 May 2016 06:09:23",451,5835.27,outdoor,Running,/fitnessActivities/787533188,-3,May,5,2016
545,27.33,API,True,RunKeeper,"Thu, 5 May 2016 05:43:14",453,5786.6,outdoor,Running,/fitnessActivities/781785039,-3,May,5,2016
546,30.2,API,True,RunKeeper,"Tue, 3 May 2016 05:49:35",447,5887.67,outdoor,Running,/fitnessActivities/780351088,-3,May,5,2016
