id,district,count
4,Lagoa Seca,1
0,Alecrim,2
1,Barro Vermelho,1
2,Candelária,2
3,Lagoa Nova,24
4,Lagoa Seca,3
0,,22
1,Alecrim,2
2,Barro Vermelho,1
3,Lagoa Nova,5
4,Lagoa Seca,2
0,,9
1,Alecrim,2
2,Candelária,2
3,Lagoa Nova,14
4,Lagoa Seca,5
0,Alecrim,4
1,Barro Vermelho,1
2,Candelária,2
3,Lagoa Nova,18
4,Lagoa Seca,7
0,,22
1,Lagoa Nova,10
0,Alecrim,4
1,Candelária,4
2,Lagoa Nova,17
3,Lagoa Seca,7
0,,9
1,Alecrim,1
2,Barro Vermelho,1
3,Lagoa Nova,18
4,Lagoa Seca,3
0,,20
1,Alecrim,1
2,Barro Vermelho,1
3,Lagoa Nova,9
4,Lagoa Seca,1
0,Alecrim,1
1,Barro Vermelho,1
2,Candelária,3
3,Lagoa Nova,21
4,Lagoa Seca,6
0,,16
1,Alecrim,1
2,Candelária,1
3,Lagoa Nova,14
0,,21
1,Lagoa Nova,9
2,Lagoa Seca,2
0,Alecrim,1
1,Candelária,2
2,Lagoa Nova,22
3,Lagoa Seca,7
0,,15
1,Alecrim,1
2,Barro Vermelho,1
3,Candelária,2
4,Lagoa Nova,9
5,Lagoa Seca,4
0,,29
1,Alecrim,1
2,Barro Vermelho,1
3,Lagoa Seca,1
0,Alecrim,2
1,Barro Vermelho,2
2,Candelária,1
3,Lagoa Nova,21
4,Lagoa Seca,6
0,,7
1,Alecrim,1
2,Barro Vermelho,1
3,Candelária,3
4,Lagoa Nova,18
5,Lagoa Seca,2
0,,32
0,,8
1,Alecrim,1
2,Candelária,3
3,Lagoa Nova,14
4,Lagoa Seca,6
0,Alecrim,2
1,Barro Vermelho,2
2,Candelária,2
3,Lagoa Nova,23
4,Lagoa Seca,3
0,,28
1,Lagoa Nova,3
2,Lagoa Seca,1
0,,20
1,Alecrim,3
2,Lagoa Nova,7
3,Lagoa Seca,2
0,Barro Vermelho,2
1,Candelária,1
2,Lagoa Nova,24
3,Lagoa Seca,5
0,,16
1,Alecrim,1
2,Barro Vermelho,1
3,Candelária,1
4,Lagoa Nova,9
5,Lagoa Seca,4
0,,32
0,,4
1,Alecrim,1
2,Candelária,2
3,Lagoa Nova,18
4,Lagoa Seca,7
0,Barro Vermelho,2
1,Candelária,4
2,Lagoa Nova,20
3,Lagoa Seca,6
0,,32
0,,15
1,Alecrim,1
2,Barro Vermelho,1
3,Candelária,3
4,Lagoa Nova,12
0,Alecrim,1
1,Barro Vermelho,3
2,Lagoa Nova,20
3,Lagoa Seca,8
0,,21
1,Candelária,3
2,Lagoa Nova,8
0,,29
1,Lagoa Nova,2
2,Lagoa Seca,1
0,Alecrim,1
1,Barro Vermelho,3
2,Candelária,3
3,Lagoa Nova,21
4,Lagoa Seca,4
0,,7
1,Barro Vermelho,3
2,Candelária,1
3,Lagoa Nova,17
4,Lagoa Seca,4
0,,32
0,,8
1,Alecrim,1
2,Barro Vermelho,2
3,Candelária,2
4,Lagoa Nova,13
5,Lagoa Seca,6
0,Alecrim,2
1,Barro Vermelho,2
2,Candelária,1
3,Lagoa Nova,24
4,Lagoa Seca,3
0,,28
1,Lagoa Nova,4
0,,21
1,Lagoa Nova,9
2,Lagoa Seca,2
0,Barro Vermelho,1
1,Candelária,2
2,Lagoa Nova,22
3,Lagoa Seca,7
0,,15
1,Barro Vermelho,1
2,Candelária,2
3,Lagoa Nova,12
4,Lagoa Seca,2
0,,32
0,Barro Vermelho,1
1,Candelária,3
2,Lagoa Nova,26
3,Lagoa Seca,2
0,,4
1,Barro Vermelho,1
2,Lagoa Nova,25
3,Lagoa Seca,2
0,,32
0,,9
1,Barro Vermelho,1
2,Candelária,1
3,Lagoa Nova,20
4,Lagoa Seca,1
0,Barro Vermelho,1
1,Candelária,2
2,Lagoa Nova,26
3,Lagoa Seca,3
0,,27
1,Lagoa Nova,5
0,,22
1,Candelária,2
2,Lagoa Nova,8
0,Candelária,4
1,Lagoa Nova,24
2,Lagoa Seca,4
0,,14
1,Barro Vermelho,1
2,Candelária,1
3,Lagoa Nova,14
4,Lagoa Seca,2
0,,32
0,Candelária,2
1,Lagoa Nova,25
2,Lagoa Seca,5
0,,4
1,Barro Vermelho,1
2,Lagoa Nova,26
3,Lagoa Seca,1
0,,32
0,,12
1,Candelária,1
2,Lagoa Nova,19
0,Lagoa Nova,25
1,Lagoa Seca,7
0,,24
1,Barro Vermelho,2
2,Lagoa Nova,5
3,Lagoa Seca,1
0,,17
1,Lagoa Nova,11
2,Lagoa Seca,4
0,Barro Vermelho,2
1,Lagoa Nova,24
2,Lagoa Seca,6
0,,19
