,duration,entry_mode,has_path,source,start_time,total_calories,total_distance,tracking_mode,type,uri,utc_offset,month,month_index,year
0,37.87,API,True,RunKeeper,"Fri, 26 Oct 2018 18:03:16",256,8151.83,outdoor,Cycling,/fitnessActivities/1248977291,-3,Oct,10,2018
1,25.92,API,True,RunKeeper,"Fri, 26 Oct 2018 07:56:50",193,7900.93,outdoor,Cycling,/fitnessActivities/1248977286,-3,Oct,10,2018
2,18.72,API,True,RunKeeper,"Wed, 24 Oct 2018 12:33:35",127,4127.19,outdoor,Cycling,/fitnessActivities/1247963081,-3,Oct,10,2018
3,24.63,API,True,RunKeeper,"Wed, 24 Oct 2018 07:22:57",201,7933.17,outdoor,Cycling,/fitnessActivities/1247963047,-3,Oct,10,2018
4,20.37,API,True,RunKeeper,"Tue, 23 Oct 2018 13:15:36",158,5281.13,outdoor,Cycling,/fitnessActivities/1247963042,-3,Oct,10,2018
5,24.95,API,True,RunKeeper,"Fri, 19 Oct 2018 07:30:10",203,7546.29,outdoor,Cycling,/fitnessActivities/1247963039,-3,Oct,10,2018
6,33.05,API,True,RunKeeper,"Wed, 17 Oct 2018 15:20:50",252,7992.05,outdoor,Cycling,/fitnessActivities/1247963036,-3,Oct,10,2018
7,25.77,API,True,RunKeeper,"Wed, 17 Oct 2018 07:58:51",196,7807.02,outdoor,Cycling,/fitnessActivities/1247963033,-3,Oct,10,2018
8,41.9,API,True,RunKeeper,"Tue, 9 Oct 2018 13:42:13",282,8791.48,outdoor,Cycling,/fitnessActivities/1241059614,-3,Oct,10,2018
9,24.4,API,True,RunKeeper,"Tue, 9 Oct 2018 07:01:20",195,7944.65,outdoor,Cycling,/fitnessActivities/1241059598,-3,Oct,10,2018
10,50.15,API,True,RunKeeper,"Fri, 5 Oct 2018 13:31:20",293,8646.5,outdoor,Cycling,/fitnessActivities/1239128443,-3,Oct,10,2018
11,24.72,API,True,RunKeeper,"Fri, 5 Oct 2018 07:32:10",198,7561.67,outdoor,Cycling,/fitnessActivities/1239108321,-3,Oct,10,2018
12,34.13,API,True,RunKeeper,"Tue, 2 Oct 2018 12:19:17",234,8010.35,outdoor,Cycling,/fitnessActivities/1237705303,-3,Oct,10,2018
13,27.5,API,True,RunKeeper,"Tue, 2 Oct 2018 07:10:18",215,7911.28,outdoor,Cycling,/fitnessActivities/1237576166,-3,Oct,10,2018
14,55.52,API,True,RunKeeper,"Thu, 27 Sep 2018 07:50:07",379,10472.91,outdoor,Cycling,/fitnessActivities/1237541305,-3,Sep,9,2018
15,32.47,API,True,RunKeeper,"Tue, 25 Sep 2018 12:24:03",230,7972.87,outdoor,Cycling,/fitnessActivities/1237541300,-3,Sep,9,2018
16,23.6,API,True,RunKeeper,"Tue, 25 Sep 2018 07:42:44",192,7530.85,outdoor,Cycling,/fitnessActivities/1237541296,-3,Sep,9,2018
17,27.9,API,True,RunKeeper,"Thu, 20 Sep 2018 13:24:59",204,7113.38,outdoor,Cycling,/fitnessActivities/1237541244,-3,Sep,9,2018
18,25.97,API,True,RunKeeper,"Thu, 20 Sep 2018 07:12:25",209,7935.36,outdoor,Cycling,/fitnessActivities/1232056305,-3,Sep,9,2018
19,33.07,API,True,RunKeeper,"Tue, 18 Sep 2018 12:54:14",236,7396.22,outdoor,Cycling,/fitnessActivities/1232056300,-3,Sep,9,2018
20,25.38,API,True,RunKeeper,"Tue, 18 Sep 2018 07:22:49",198,7976.8,outdoor,Cycling,/fitnessActivities/1232056296,-3,Sep,9,2018
21,66.53,API,True,RunKeeper,"Thu, 13 Sep 2018 14:03:45",504,19522.71,outdoor,Cycling,/fitnessActivities/1232056293,-3,Sep,9,2018
22,24.87,API,True,RunKeeper,"Thu, 13 Sep 2018 07:44:54",197,7961.16,outdoor,Cycling,/fitnessActivities/1232056068,-3,Sep,9,2018
